"Date","Host","State","Collection","SiteName","SiteID","Path","Protocol","Port","Header","AuthAnon","AuthBasic","AuthWin","Status","runTime","PipeLineMode","bitEnabled","FileName"
"06202016","VMAEPHQWS210","corpcomm","","corpcomm","3","D:\WebContent\corpcomm","http","80","corpcomm-pr","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","corpcomm","","corpcomm","3","D:\WebContent\corpcomm","http","80","corpcomm","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","corpcomm","","corpcomm","3","D:\WebContent\corpcomm","http","9003","","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","corpcomm","","corpcomm","3","D:\WebContent\corpcomm","http","80","corpcomm.aepsc.com","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","culture","","culture","17","D:\WebContent\culture","http","80","culture-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","culture","","culture","17","D:\WebContent\culture","http","80","culture","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","culture","","culture","17","D:\WebContent\culture","http","80","culture.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","Default Web Site","","Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started","","","","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","diversity","","diversity","18","D:\WebContent\diversity","http","80","diversity-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","diversity","","diversity","18","D:\WebContent\diversity","http","80","diversity","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","diversity","","diversity","18","D:\WebContent\diversity","http","80","diversity.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","eam","","eam","63","D:\WebContent\eam","http","80","eam-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","eam","","eam","63","D:\WebContent\eam","http","80","eam","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","eam","","eam","63","D:\WebContent\eam","http","80","eam.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ebcr","","ebcr","89","D:\WebContent\ebcr","http","80","ebcr","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ebcr","","ebcr","89","D:\WebContent\ebcr","http","80","ebcr.aepsc.com","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
